[INFO | 2017-12-07 23:26:16,169] 127.0.0.1 9001 变为Leader
[INFO | 2017-12-07 23:26:16,172] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:26:24,680] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:26:24,696] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:26:24,768] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:26:24,773]  become a Leader, I am a follower
[INFO | 2017-12-07 23:26:26,778] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:26:26,795] 127.0.0.1 9002 变为Leader
[INFO | 2017-12-07 23:26:26,801] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-07 23:26:26,803] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-07 23:26:26,806]  become a Leader, I am a follower
[INFO | 2017-12-07 23:26:27,044] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:26:27,045] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:26:27,046] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-07 23:26:27,050] 127.0.0.1 9002 become a Leader, I am a follower
[INFO | 2017-12-07 23:27:05,353] kill all the clild now
[INFO | 2017-12-07 23:27:05,545] child close 0
[INFO | 2017-12-07 23:27:06,288] kill all the clild now
[INFO | 2017-12-07 23:27:06,523] child close 0
[INFO | 2017-12-07 23:27:06,891] kill all the clild now
[INFO | 2017-12-07 23:27:07,069] child close 0
[INFO | 2017-12-07 23:35:05,899] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:35:05,903] 127.0.0.1 9001 变为Leader
[INFO | 2017-12-07 23:35:29,184] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:29,205] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:35:29,237]  become a Leader, I am a follower
[INFO | 2017-12-07 23:35:29,242] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:31,243] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:31,243] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:31,249] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:35:31,253]  become a Leader, I am a follower
[INFO | 2017-12-07 23:35:33,258] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:33,258] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:33,262] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:35:33,269]  become a Leader, I am a follower
[INFO | 2017-12-07 23:35:35,277] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:35,278] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:35,282] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:35:35,285]  become a Leader, I am a follower
[INFO | 2017-12-07 23:35:37,293] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:37,294] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:35:37,296]  become a Leader, I am a follower
[INFO | 2017-12-07 23:35:37,320] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:32,594] kill all the clild now
[INFO | 2017-12-07 23:37:32,965] child close 0
[INFO | 2017-12-07 23:37:38,570] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:38,570] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:38,578] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:38,584]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:40,592] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:40,592] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:40,595] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:40,604]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:42,613] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:42,613] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:42,616] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:42,626]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:44,634] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:44,635] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:44,641] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:44,653]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:46,663] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:46,663] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:46,672] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:46,683]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:48,688] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:48,688] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:48,696] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:48,705]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:50,711] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:50,714] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:50,711] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:50,721]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:52,729] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:52,729] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:52,731] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:52,736]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:54,742] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:54,742] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:54,745] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:54,755]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:56,760] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:56,760] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:56,776] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:56,786]  become a Leader, I am a follower
[INFO | 2017-12-07 23:37:58,794] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:58,794] 127.0.0.1 9002a node survived
[INFO | 2017-12-07 23:37:58,799] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-07 23:37:58,810]  become a Leader, I am a follower
[INFO | 2017-12-07 23:38:00,478] kill all the clild now
[INFO | 2017-12-07 23:38:00,643] child close 0
[INFO | 2017-12-07 23:38:01,492] kill all the clild now
[INFO | 2017-12-07 23:38:01,745] child close 0
[INFO | 2017-12-07 23:38:02,172] kill all the clild now
[INFO | 2017-12-07 23:38:02,462] child close 0
[INFO | 2017-12-07 23:41:54,433] 127.0.0.1 9001 变为Leader
