[WARNING | 2017-12-07 23:26:11,595] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-07 23:26:11,596] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:26:14,155] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:35:01,321] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-07 23:35:01,323] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:35:03,885] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:41:49,236] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-07 23:41:49,237] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:41:52,418] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:48:14,130] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-07 23:48:14,132] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:48:21,241] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:54:36,168] Not Connected:127.0.0.1:9001
[WARNING | 2017-12-07 23:54:36,169] Not Connected:127.0.0.1:9002
[WARNING | 2017-12-07 23:54:40,160] Not Connected:127.0.0.1:9002
