[INFO | 2017-12-30 19:44:38,702] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 19:44:54,170] 发送失败
[INFO | 2017-12-30 19:45:08,274] child close 0
[INFO | 2017-12-30 19:45:08,655] DtbtNginx : localhost 9000 close
[INFO | 2017-12-30 19:53:45,837] localhost 9000 is survived
[INFO | 2017-12-30 19:53:45,840] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-30 19:54:16,054] 客服端正常退出 fd=16
[INFO | 2017-12-30 19:54:19,083] child close 0
[INFO | 2017-12-30 19:54:19,101] DtbtNginx : localhost 9000 close
[INFO | 2017-12-30 20:03:40,455] localhost 9000 is survived
[INFO | 2017-12-30 20:03:40,458] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-30 20:03:44,702] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:03:46,179] child close 0
[INFO | 2017-12-30 20:03:46,184] DtbtNginx : localhost 9000 close
[INFO | 2017-12-30 20:14:51,426] localhost 9000 is survived
[INFO | 2017-12-30 20:14:51,432] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-30 20:15:01,252] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:15:01,258] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 20:15:01,261] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:15:06,437] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:15:06,440] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 20:15:17,042] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:15:17,136] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:15:17,141] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 20:15:20,838] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:15:20,981] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:15:21,002] 客服端正常退出 fd=17
[INFO | 2017-12-30 20:15:21,007] server : 139.199.26.222 11001 close
[INFO | 2017-12-30 20:15:21,793] 客服端正常退出 fd=19
[INFO | 2017-12-30 20:15:21,794] server : 139.199.26.222 11001 close
[INFO | 2017-12-30 20:15:21,797] 客服端正常退出 fd=17
[INFO | 2017-12-30 20:16:24,808] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:16:28,287] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:16:28,320] 客服端正常退出 fd=17
[INFO | 2017-12-30 20:16:28,323] server : 139.199.26.222 11001 close
[INFO | 2017-12-30 20:16:28,966] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:16:28,998] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 20:16:29,113] 客服端正常退出 fd=17
[INFO | 2017-12-30 20:19:09,189] kill all the clild now
[INFO | 2017-12-30 20:19:09,420] child close 0
[INFO | 2017-12-30 20:19:09,426] DtbtNginx : localhost 9000 close
[INFO | 2017-12-30 20:19:17,234] kill all the clild now
[INFO | 2017-12-30 20:19:30,929] child close 0
[INFO | 2017-12-30 20:20:18,234] localhost 9001not vote for localhost 9001
[INFO | 2017-12-30 20:20:18,767] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-30 20:20:18,768] become a Leader
[INFO | 2017-12-30 20:20:25,934] 客服端正常退出 fd=16
[INFO | 2017-12-30 20:20:25,954] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:20:25,958] server : 139.199.26.222 11002 close
[INFO | 2017-12-30 20:20:45,037] 客服端正常退出 fd=18
[INFO | 2017-12-30 20:30:00,062] 客服端正常退出 fd=17
[INFO | 2017-12-30 20:30:00,063] server : 139.199.26.222 11001 close
[INFO | 2017-12-30 20:30:04,691] 客服端正常退出 fd=16
