[INFO | 2017-12-17 19:28:40,847] 客服端正常退出
[INFO | 2017-12-17 19:28:43,428] kill all the clild now
[INFO | 2017-12-17 19:28:43,629] child close 0
[INFO | 2017-12-17 19:30:21,063] 客服端正常退出
[INFO | 2017-12-17 19:30:22,080] 客服端正常退出
[INFO | 2017-12-17 19:30:24,404] kill all the clild now
[INFO | 2017-12-17 19:30:24,593] child close 0
[INFO | 2017-12-17 19:34:23,894] 客服端正常退出
[INFO | 2017-12-17 19:34:26,776] kill all the clild now
[INFO | 2017-12-17 19:34:26,956] child close 0
[INFO | 2017-12-17 19:39:00,865] 客服端正常退出
[INFO | 2017-12-17 19:39:03,455] kill all the clild now
[INFO | 2017-12-17 19:39:03,660] child close 0
[INFO | 2017-12-17 19:42:16,877] 客服端正常退出
[INFO | 2017-12-17 19:42:24,171] 客服端正常退出
[INFO | 2017-12-17 19:42:25,181] 客服端正常退出
[INFO | 2017-12-17 19:42:27,189] 客服端正常退出
[INFO | 2017-12-17 19:42:54,284] 客服端正常退出
[INFO | 2017-12-17 19:42:55,294] 客服端正常退出
[INFO | 2017-12-17 19:42:57,313] 客服端正常退出
[INFO | 2017-12-17 19:43:00,323] 客服端正常退出
[INFO | 2017-12-17 19:43:04,259] kill all the clild now
[INFO | 2017-12-17 19:43:04,476] child close 0
[INFO | 2017-12-17 19:46:39,613] 不支持:GET / HTTP/1.1 请求
[INFO | 2017-12-17 19:46:39,620] 客服端异常退出
[INFO | 2017-12-17 19:46:43,610] kill all the clild now
[INFO | 2017-12-17 19:46:43,802] child close 0
[INFO | 2017-12-17 19:59:24,424] 发送失败
[INFO | 2017-12-17 19:59:24,445] 客服端正常退出
[INFO | 2017-12-17 19:59:26,364] kill all the clild now
[INFO | 2017-12-17 19:59:26,598] child close 0
[INFO | 2017-12-17 20:07:53,007] 发送失败
[INFO | 2017-12-17 20:07:53,012] 客服端正常退出
[INFO | 2017-12-17 20:07:56,161] kill all the clild now
[INFO | 2017-12-17 20:07:56,363] child close 0
[INFO | 2017-12-17 20:10:01,208] 发送失败
[INFO | 2017-12-17 20:10:01,213] 客服端正常退出
[INFO | 2017-12-17 20:10:02,889] kill all the clild now
[INFO | 2017-12-17 20:10:03,072] child close 0
[INFO | 2017-12-17 20:14:26,485] 发送失败
[INFO | 2017-12-17 20:14:26,492] 客服端正常退出
[INFO | 2017-12-17 20:14:28,525] kill all the clild now
[INFO | 2017-12-17 20:14:28,717] child close 0
[INFO | 2017-12-17 20:26:37,566] 客服端正常退出
[INFO | 2017-12-17 20:26:41,900] kill all the clild now
[INFO | 2017-12-17 20:26:42,083] child close 0
[INFO | 2017-12-17 20:27:35,845] kill all the clild now
[INFO | 2017-12-17 20:27:36,018] child close 0
[INFO | 2017-12-17 20:29:28,763] kill all the clild now
[INFO | 2017-12-17 20:29:28,959] child close 0
[INFO | 2017-12-17 20:30:33,224] 客服端正常退出
[INFO | 2017-12-17 20:30:36,068] kill all the clild now
[INFO | 2017-12-17 20:30:36,263] child close 0
[INFO | 2017-12-17 20:31:20,077] kill all the clild now
[INFO | 2017-12-17 20:31:20,271] child close 0
