[ERROR | 2017-12-23 12:15:37,298] Read sockfd had close fd=19
[ERROR | 2017-12-23 12:15:40,177] Read sockfd had close fd=12
[ERROR | 2017-12-23 13:53:53,386] Read sockfd had close fd=19
[ERROR | 2017-12-23 13:53:58,330] Read sockfd had close fd=12
[ERROR | 2017-12-23 14:05:10,392] epoll socket = -1
[ERROR | 2017-12-23 14:05:11,264] epoll socket = -1
[ERROR | 2017-12-23 14:06:05,595] response no Content-Length:
[ERROR | 2017-12-23 14:06:13,107] Read sockfd had close fd=12
[ERROR | 2017-12-23 14:06:13,394] Read sockfd had close fd=17
[ERROR | 2017-12-23 14:07:16,333] Read sockfd had close fd=12
[ERROR | 2017-12-23 14:07:16,452] Read sockfd had close fd=17
[ERROR | 2017-12-23 14:10:18,628] Read sockfd had close fd=19
[ERROR | 2017-12-23 14:10:23,581] Read sockfd had close fd=19
[ERROR | 2017-12-23 14:10:26,801] Read sockfd had close fd=19
[ERROR | 2017-12-23 14:10:36,356] Read sockfd had close fd=19
[ERROR | 2017-12-23 14:12:56,355] Read sockfd had close fd=12
[ERROR | 2017-12-23 14:12:58,009] Read sockfd had close fd=17
[ERROR | 2017-12-23 14:25:09,500] epoll socket = -1
[ERROR | 2017-12-23 15:25:54,654] Read sockfd had close fd=19
[ERROR | 2017-12-23 15:26:35,887] Read sockfd had close fd=12
[ERROR | 2017-12-23 15:44:40,343] Read sockfd had close fd=19
[ERROR | 2017-12-23 15:45:09,397] Read sockfd had close fd=12
[ERROR | 2017-12-23 16:01:20,963] Read sockfd had close fd=19
[ERROR | 2017-12-23 16:02:14,613] Read sockfd had close fd=12
[ERROR | 2017-12-23 16:05:28,516] epoll socket = -1
[ERROR | 2017-12-23 16:10:19,264] Read sockfd had close fd=12
[ERROR | 2017-12-23 16:10:19,314] Read sockfd had close fd=17
[ERROR | 2017-12-23 16:21:15,496] Read sockfd had close fd=17
[ERROR | 2017-12-23 16:21:15,540] epoll socket = -1
[ERROR | 2017-12-23 16:29:28,304] Read sockfd had close fd=12
[ERROR | 2017-12-23 17:00:44,557] Read sockfd had close fd=12
[ERROR | 2017-12-23 17:00:45,220] Read sockfd had close fd=17
[ERROR | 2017-12-23 17:19:41,208] epoll socket = -1
[ERROR | 2017-12-23 17:19:41,719] epoll socket = -1
[ERROR | 2017-12-23 17:21:10,621] Read sockfd had close fd=12
[ERROR | 2017-12-23 17:57:51,028] Read sockfd had close fd=12
[ERROR | 2017-12-23 17:57:51,812] Read sockfd had close fd=17
[ERROR | 2017-12-23 17:58:26,756] epoll socket = -1
[ERROR | 2017-12-23 17:58:26,786] epoll socket = -1
[ERROR | 2017-12-23 18:01:58,528] Read sockfd had close fd=12
[ERROR | 2017-12-23 18:01:58,651] Read sockfd had close fd=17
[ERROR | 2017-12-23 18:27:08,475] epoll socket = -1
[ERROR | 2017-12-23 18:27:08,572] epoll socket = -1
[ERROR | 2017-12-23 18:29:31,201] Read sockfd had close fd=17
[ERROR | 2017-12-23 18:48:03,779] Read sockfd had close fd=17
[ERROR | 2017-12-23 18:48:08,133] Read sockfd had close fd=12
[ERROR | 2017-12-23 18:49:49,916] epoll socket = -1
[ERROR | 2017-12-23 19:57:02,224] epoll socket = 19
[ERROR | 2017-12-23 19:57:02,228] Read sockfd had close fd=19
[ERROR | 2017-12-23 19:57:15,611] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:17:11,164] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:17:11,299] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:23:49,755] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:23:49,857] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:33:44,464] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:33:44,527] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:38:36,896] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:38:36,957] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:39:54,403] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:39:58,769] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:40:02,094] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:43:47,002] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:43:47,494] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:45:58,043] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:55:49,850] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:55:49,886] Read sockfd had close fd=17
[ERROR | 2017-12-23 20:56:45,553] response no Content-Length:
[ERROR | 2017-12-23 20:56:54,789] response no Content-Length:
[ERROR | 2017-12-23 20:59:18,496] Read sockfd had close fd=12
[ERROR | 2017-12-23 20:59:18,544] Read sockfd had close fd=17
[ERROR | 2017-12-23 21:09:58,789] Read sockfd had close fd=12
[ERROR | 2017-12-23 21:09:58,831] Read sockfd had close fd=17
[ERROR | 2017-12-23 21:16:17,246] Read sockfd had close fd=12
[ERROR | 2017-12-23 21:16:17,287] Read sockfd had close fd=17
[ERROR | 2017-12-23 21:21:10,060] Read sockfd had close fd=12
[ERROR | 2017-12-23 21:21:10,105] Read sockfd had close fd=17
[ERROR | 2017-12-23 21:25:30,996] Read sockfd had close fd=12
[ERROR | 2017-12-23 21:25:31,033] Read sockfd had close fd=17
