[DEBUG | 2018-01-05 13:06:04,198] BackServer = 139.199.26.222 11001
[DEBUG | 2018-01-05 13:06:04,200] BackServer = 139.199.26.222 11002
[DEBUG | 2018-01-05 13:06:04,201] selfNginxName = localhost 9000
[DEBUG | 2018-01-05 13:06:04,203] DtbtNginx = localhost 9001
[DEBUG | 2018-01-05 13:06:04,206] DtbtNginx = localhost 9002
[DEBUG | 2018-01-05 13:06:04,207] lisCliName = localhost 11001
[DEBUG | 2018-01-05 13:06:04,609] vote for self 
[DEBUG | 2018-01-05 13:06:05,054] vote for self 
[DEBUG | 2018-01-05 13:06:05,440] vote for self 
[DEBUG | 2018-01-05 13:06:05,800] vote for self 
[DEBUG | 2018-01-05 13:06:06,238] vote for self 
[DEBUG | 2018-01-05 13:06:06,841] vote for self 
[DEBUG | 2018-01-05 13:06:07,365] vote for self 
[DEBUG | 2018-01-05 13:06:07,844] vote for self 
[DEBUG | 2018-01-05 13:06:08,271] vote for self 
[DEBUG | 2018-01-05 13:06:08,452] BackServer = 139.199.26.222 11001
[DEBUG | 2018-01-05 13:06:08,453] BackServer = 139.199.26.222 11002
[DEBUG | 2018-01-05 13:06:08,454] DtbtNginx = localhost 9000
[DEBUG | 2018-01-05 13:06:08,455] selfNginxName = localhost 9001
[DEBUG | 2018-01-05 13:06:08,457] DtbtNginx = localhost 9002
[DEBUG | 2018-01-05 13:06:08,458] lisCliName = localhost 11002
[DEBUG | 2018-01-05 13:06:08,469] AcceptNginx:19
[DEBUG | 2018-01-05 13:06:08,469] connect -> localhost 9000
[DEBUG | 2018-01-05 13:06:08,475] recv a vote for me
[DEBUG | 2018-01-05 13:06:08,475] vote for localhost 9001
[DEBUG | 2018-01-05 13:06:08,477] ACK to Follower
[DEBUG | 2018-01-05 13:06:08,479] AckVote2FollowerRcve
[DEBUG | 2018-01-05 13:06:38,053] client request send to child 0
[DEBUG | 2018-01-05 13:06:38,105] connect a client:  fd=16
[DEBUG | 2018-01-05 13:06:38,238] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:06:38,514] 192.168.56.1 8613 请求的文件:html/index.html size=458
[DEBUG | 2018-01-05 13:06:38,514] ParseRequest success readSize=389 readIdx=0
[DEBUG | 2018-01-05 13:06:41,214] html/index.html sendfile:458字节
[DEBUG | 2018-01-05 13:06:43,643] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:32,009] client request send to child 0
[DEBUG | 2018-01-05 13:08:32,010] connect a client:  fd=16
[DEBUG | 2018-01-05 13:08:32,014] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:32,020] 192.168.56.1 8708 请求的文件:html/index.html size=458
[DEBUG | 2018-01-05 13:08:32,023] ParseRequest success readSize=415 readIdx=0
[DEBUG | 2018-01-05 13:08:32,117] connect -> 139.199.26.222:11001 fd=19
[DEBUG | 2018-01-05 13:08:32,140] connect -> 139.199.26.222:11002 fd=20
[DEBUG | 2018-01-05 13:08:32,197] client -> server : 192.168.56.1 8708 -> 139.199.26.222 11002
[DEBUG | 2018-01-05 13:08:32,308] readIdx=64 startLen=64 contentLength=458
[DEBUG | 2018-01-05 13:08:32,309] readIdx=522 startLen=64 contentLength=458
[DEBUG | 2018-01-05 13:08:32,310] ParseResponse success readSize=522 readIdx=0
[DEBUG | 2018-01-05 13:08:32,311] response send to clifd=16 size=522
[DEBUG | 2018-01-05 13:08:32,316] html/index.html sendfile:458字节
[DEBUG | 2018-01-05 13:08:32,416] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:32,419] client request send to child 0
[DEBUG | 2018-01-05 13:08:32,421] connect a client:  fd=16
[DEBUG | 2018-01-05 13:08:32,423] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:32,427] 192.168.56.1 8711 请求的文件:html/images/zly.jpg size=91969
[DEBUG | 2018-01-05 13:08:32,428] ParseRequest success readSize=366 readIdx=0
[DEBUG | 2018-01-05 13:08:32,454] connect -> 139.199.26.222:11002 fd=20
[DEBUG | 2018-01-05 13:08:32,458] client -> server : 192.168.56.1 8711 -> 139.199.26.222 11001
[DEBUG | 2018-01-05 13:08:32,487] readIdx=66 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,493] ReadHttpRequest扩容 size=4096
[DEBUG | 2018-01-05 13:08:32,494] readIdx=2048 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,495] ReadHttpRequest扩容 size=8192
[DEBUG | 2018-01-05 13:08:32,496] readIdx=4096 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,500] ReadHttpRequest扩容 size=16384
[DEBUG | 2018-01-05 13:08:32,503] readIdx=8192 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,510] readIdx=10482 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,517] readIdx=13954 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,519] ReadHttpRequest扩容 size=32768
[DEBUG | 2018-01-05 13:08:32,523] readIdx=16384 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,526] ReadHttpRequest扩容 size=65536
[DEBUG | 2018-01-05 13:08:32,531] readIdx=32768 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,534] readIdx=42786 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,537] readIdx=59874 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,552] ReadHttpRequest扩容 size=131072
[DEBUG | 2018-01-05 13:08:32,554] readIdx=65536 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,557] readIdx=92035 startLen=66 contentLength=91969
[DEBUG | 2018-01-05 13:08:32,559] ParseResponse success readSize=92035 readIdx=0
[DEBUG | 2018-01-05 13:08:32,561] response send to clifd=16 size=92035
[DEBUG | 2018-01-05 13:08:32,910] html/images/zly.jpg sendfile:91969字节
[DEBUG | 2018-01-05 13:08:32,914] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:32,967] client request send to child 0
[DEBUG | 2018-01-05 13:08:32,968] connect a client:  fd=16
[DEBUG | 2018-01-05 13:08:32,969] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:08:33,028] 192.168.56.1 8713 请求的文件:html/images/js.jpg size=9708
[DEBUG | 2018-01-05 13:08:33,029] ParseRequest success readSize=365 readIdx=0
[DEBUG | 2018-01-05 13:08:33,052] connect -> 139.199.26.222:11001 fd=19
[DEBUG | 2018-01-05 13:08:33,055] client -> server : 192.168.56.1 8713 -> 139.199.26.222 11002
[DEBUG | 2018-01-05 13:08:33,082] ReadHttpRequest扩容 size=4096
[DEBUG | 2018-01-05 13:08:33,084] readIdx=2048 startLen=65 contentLength=9708
[DEBUG | 2018-01-05 13:08:33,088] ReadHttpRequest扩容 size=8192
[DEBUG | 2018-01-05 13:08:33,095] readIdx=4096 startLen=65 contentLength=9708
[DEBUG | 2018-01-05 13:08:33,102] ReadHttpRequest扩容 size=16384
[DEBUG | 2018-01-05 13:08:33,105] readIdx=8192 startLen=65 contentLength=9708
[DEBUG | 2018-01-05 13:08:33,106] readIdx=9773 startLen=65 contentLength=9708
[DEBUG | 2018-01-05 13:08:33,107] ParseResponse success readSize=9773 readIdx=0
[DEBUG | 2018-01-05 13:08:33,108] response send to clifd=16 size=9773
[DEBUG | 2018-01-05 13:08:33,185] html/images/js.jpg sendfile:9708字节
[DEBUG | 2018-01-05 13:08:40,628] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:09:37,878] client request send to child 0
[DEBUG | 2018-01-05 13:09:37,880] connect a client:  fd=16
[DEBUG | 2018-01-05 13:09:37,881] connect a client:  fd=21
[DEBUG | 2018-01-05 13:09:37,881] client request send to child 0
[DEBUG | 2018-01-05 13:09:37,883] 客服端请求来到 fd=16
[DEBUG | 2018-01-05 13:09:37,889] 192.168.56.1 8737 fd=16 view资源不存在:html/favicon.ico
[DEBUG | 2018-01-05 13:09:37,890] ParseRequest success readSize=406 readIdx=0
[DEBUG | 2018-01-05 13:09:37,892] client -> server : 192.168.56.1 8737 -> 139.199.26.222 11002
[DEBUG | 2018-01-05 13:10:02,457] 客服端请求来到 fd=21
[DEBUG | 2018-01-05 13:10:42,594] connect a client:  fd=19
[DEBUG | 2018-01-05 13:10:42,594] client request send to child 0
[DEBUG | 2018-01-05 13:10:42,594] 客服端请求来到 fd=19
[DEBUG | 2018-01-05 13:10:42,602] 192.168.56.1 8762 请求的文件:html/index.html size=458
[DEBUG | 2018-01-05 13:10:42,603] ParseRequest success readSize=415 readIdx=0
[DEBUG | 2018-01-05 13:10:42,628] connect -> 139.199.26.222:11001 fd=20
[DEBUG | 2018-01-05 13:10:42,650] connect -> 139.199.26.222:11002 fd=21
[DEBUG | 2018-01-05 13:10:42,692] client -> server : 192.168.56.1 8762 -> 139.199.26.222 11002
[DEBUG | 2018-01-05 13:10:42,714] readIdx=64 startLen=64 contentLength=458
[DEBUG | 2018-01-05 13:10:42,715] readIdx=522 startLen=64 contentLength=458
