[DEBUG | 2017-12-30 18:52:48,802] lisCliName = localhost 11002
[DEBUG | 2017-12-30 18:52:49,310] vote for self 
[DEBUG | 2017-12-30 18:52:49,751] vote for self 
[DEBUG | 2017-12-30 18:52:50,080] vote for self 
[DEBUG | 2017-12-30 18:52:50,503] vote for self 
[DEBUG | 2017-12-30 18:52:51,030] vote for self 
[DEBUG | 2017-12-30 18:52:51,582] vote for self 
[DEBUG | 2017-12-30 18:52:51,957] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:52:51,957] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:52:51,958] selfNginxName = localhost 9000
[DEBUG | 2017-12-30 18:52:51,959] DtbtNginx = localhost 9001
[DEBUG | 2017-12-30 18:52:51,960] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:52:51,961] lisCliName = localhost 11001
[DEBUG | 2017-12-30 18:52:51,965] connect -> localhost 9001
[DEBUG | 2017-12-30 18:52:51,965] AcceptNginx:19
[DEBUG | 2017-12-30 18:52:51,970] recv a vote for me
[DEBUG | 2017-12-30 18:52:51,970] vote for localhost 9000
[DEBUG | 2017-12-30 18:52:51,974] ACK to Follower
[DEBUG | 2017-12-30 18:52:51,978] AckVote2FollowerRcve
[DEBUG | 2017-12-30 18:53:00,053] localhost 9001 lastActive=1514631171 activeInterval=6
[DEBUG | 2017-12-30 18:53:00,199] localhost 9000 lastActive=1514631171 activeInterval=6
[DEBUG | 2017-12-30 18:53:00,580] vote for self 
[DEBUG | 2017-12-30 18:53:01,109] vote for self 
[DEBUG | 2017-12-30 18:53:01,544] vote for self 
[DEBUG | 2017-12-30 18:53:01,965] vote for self 
[DEBUG | 2017-12-30 18:53:02,400] vote for self 
[DEBUG | 2017-12-30 18:53:02,811] vote for self 
[DEBUG | 2017-12-30 18:53:03,217] vote for self 
[DEBUG | 2017-12-30 18:53:03,620] vote for self 
[DEBUG | 2017-12-30 18:53:04,141] vote for self 
[DEBUG | 2017-12-30 18:53:04,712] vote for self 
[DEBUG | 2017-12-30 18:53:05,262] vote for self 
[DEBUG | 2017-12-30 18:53:05,715] vote for self 
[DEBUG | 2017-12-30 18:53:05,903] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-30 18:53:05,903] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-30 18:53:05,904] selfNginxName = localhost 9000
[DEBUG | 2017-12-30 18:53:05,905] DtbtNginx = localhost 9001
[DEBUG | 2017-12-30 18:53:05,905] DtbtNginx = localhost 9002
[DEBUG | 2017-12-30 18:53:05,906] lisCliName = localhost 11001
[DEBUG | 2017-12-30 18:53:05,911] AcceptNginx:19
[DEBUG | 2017-12-30 18:53:05,911] connect -> localhost 9001
[DEBUG | 2017-12-30 18:53:05,932] vote for localhost 9000
[DEBUG | 2017-12-30 18:53:05,932] recv a vote for me
[DEBUG | 2017-12-30 18:53:05,934] AckVote2FollowerRcve
[DEBUG | 2017-12-30 18:53:05,934] ACK to Follower
[DEBUG | 2017-12-30 18:53:41,371] client request send to child 0
[DEBUG | 2017-12-30 18:53:41,371] connect a client:  fd=16
[DEBUG | 2017-12-30 18:53:41,374] 客服端请求来到 fd=16
[DEBUG | 2017-12-30 18:53:41,376] readIdx=424 startLen=424 contentLength=0
[DEBUG | 2017-12-30 18:53:41,377] ParseResponse success readSize=424 readIdx=0
[DEBUG | 2017-12-30 18:53:43,545] 添加：HTTP/1.1 500 Internal Error

[DEBUG | 2017-12-30 18:53:43,546] 添加：Content-Length: 57

[DEBUG | 2017-12-30 18:53:43,547] 添加：Connection: close

