[INFO | 2017-12-23 15:05:33,525] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:07:35,739] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:07:35,749] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:07:35,761] 客服端正常退出 fd=19
[INFO | 2017-12-23 15:15:13,078] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:15:13,080] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:15:43,437] 客服端正常退出 fd=17
[INFO | 2017-12-23 15:15:43,441] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 15:16:11,772] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:16:15,851] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:16:15,856] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:16:37,835] 客服端正常退出 fd=17
[INFO | 2017-12-23 15:16:37,839] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 15:17:15,131] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:17:22,820] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:17:22,822] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:17:40,264] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:25:46,743] kill all the clild now
[INFO | 2017-12-23 15:25:49,509] kill all the clild now
[INFO | 2017-12-23 15:25:52,395] kill all the clild now
[INFO | 2017-12-23 15:25:54,429] child close 0
[INFO | 2017-12-23 15:25:54,653] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 15:25:54,943] 发送失败
[INFO | 2017-12-23 15:26:36,062] child close 0
[INFO | 2017-12-23 15:35:52,774] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 15:35:53,155] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 15:35:53,157] become a Leader
[INFO | 2017-12-23 15:36:19,030] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:36:19,043] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:43:17,885] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:43:18,069] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:43:18,071] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:43:20,082] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:43:20,180] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:43:20,182] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:43:31,278] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:43:31,612] 客服端正常退出 fd=17
[INFO | 2017-12-23 15:43:31,613] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 15:43:43,975] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:43:46,645] 客服端正常退出 fd=17
[INFO | 2017-12-23 15:43:46,647] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 15:43:52,947] 客服端正常退出 fd=16
[INFO | 2017-12-23 15:43:58,941] 客服端正常退出 fd=17
[INFO | 2017-12-23 15:43:58,944] server : 139.199.26.222 11001 close
[INFO | 2017-12-23 15:44:30,162] kill all the clild now
[INFO | 2017-12-23 15:44:32,361] kill all the clild now
[INFO | 2017-12-23 15:44:39,980] child close 0
[INFO | 2017-12-23 15:44:40,342] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 15:45:09,474] child close 0
[INFO | 2017-12-23 15:45:26,144] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 15:45:26,566] become a Leader
[INFO | 2017-12-23 15:45:26,567] localhost 9000 become a Leader, I am a follower
[INFO | 2017-12-23 15:50:44,323] 客服端正常退出 fd=18
[INFO | 2017-12-23 15:50:44,343] server : 139.199.26.222 11002 close
[INFO | 2017-12-23 15:51:11,987] 客服端正常退出 fd=16
[INFO | 2017-12-23 16:01:16,643] kill all the clild now
[INFO | 2017-12-23 16:01:18,941] kill all the clild now
[INFO | 2017-12-23 16:01:20,236] kill all the clild now
[INFO | 2017-12-23 16:01:20,935] child close 0
[INFO | 2017-12-23 16:01:20,962] DtbtNginx : localhost 9001 close
[INFO | 2017-12-23 16:01:25,852] kill all the clild now
[INFO | 2017-12-23 16:02:15,194] child close 0
[INFO | 2017-12-23 16:05:15,769] localhost 9001not vote for localhost 9001
[INFO | 2017-12-23 16:05:16,113] localhost 9001 become a Leader, I am a follower
[INFO | 2017-12-23 16:05:16,115] become a Leader
[INFO | 2017-12-23 16:05:54,263] kill all the clild now
