[WARNING | 2018-01-05 13:06:04,217] Not Connected:localhost:9001
[WARNING | 2018-01-05 13:06:04,219] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:06:08,471] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:06:39,912] Not Connected:139.199.26.222:11001
[WARNING | 2018-01-05 13:06:41,077] Not Connected:139.199.26.222:11002
[WARNING | 2018-01-05 13:06:41,216] all server dont alive
[WARNING | 2018-01-05 13:08:32,455] 发生节点迁移：192.168.56.1 8711->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 13:08:33,053] 发生节点迁移：192.168.56.1 8713->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 13:10:42,849] 发生节点迁移：192.168.56.1 8765->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 13:10:46,087] 找不到client serfd=19
[WARNING | 2018-01-05 13:12:06,859] 发生节点迁移：192.168.56.1 8789->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 13:12:06,895] WriteHttpResponse open html/favicon.ico error
[WARNING | 2018-01-05 13:16:02,566] 发生节点迁移：192.168.56.1 8879->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 13:17:43,511] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:18:09,329] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:20:33,228] 发生节点迁移：192.168.56.1 8972->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 13:30:46,734] Not Connected:localhost:9001
[WARNING | 2018-01-05 13:30:46,736] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:30:48,081] Not Connected:localhost:9002
[WARNING | 2018-01-05 13:32:27,433] 发生节点迁移：192.168.56.1 9135->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 13:32:35,247] 发生节点迁移：192.168.56.1 9139->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 13:32:35,347] 找不到client serfd=18
[WARNING | 2018-01-05 13:34:27,743] 找不到client serfd=18
[WARNING | 2018-01-05 13:34:27,753] 找不到client serfd=18
[WARNING | 2018-01-05 13:34:27,780] 找不到client serfd=18
[WARNING | 2018-01-05 13:34:27,792] 找不到client serfd=18
[WARNING | 2018-01-05 13:34:27,798] 找不到client serfd=18
[WARNING | 2018-01-05 14:24:30,552] Not Connected:localhost:9000
[WARNING | 2018-01-05 14:24:30,553] Not Connected:localhost:9002
[WARNING | 2018-01-05 14:24:32,528] Not Connected:localhost:9002
[WARNING | 2018-01-05 14:24:47,013] 发生节点迁移：192.168.56.1 9696->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 14:24:50,567] 发生节点迁移：192.168.56.1 9698->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 14:24:54,217] 发生节点迁移：192.168.56.1 9699->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 14:24:54,395] 发生节点迁移：192.168.56.1 9700->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 14:24:58,060] 找不到client serfd=17
[WARNING | 2018-01-05 14:25:28,249] 发生节点迁移：192.168.56.1 9708->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 14:25:29,072] 发生节点迁移：192.168.56.1 9710->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 14:26:43,268] 发生节点迁移：192.168.56.1 9782->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 14:28:03,913] 发生节点迁移：192.168.56.1 9822->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 14:28:03,947] WriteHttpResponse open html/favicon.ico error
[WARNING | 2018-01-05 14:29:01,835] WriteHttpResponse open html/favicon.ico error
[WARNING | 2018-01-05 14:29:02,283] 发生节点迁移：192.168.56.1 9848->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2018-01-05 14:29:20,494] 发生节点迁移：192.168.56.1 9852->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2018-01-05 14:57:27,386] Not Connected:localhost:9001
[WARNING | 2018-01-05 14:57:27,388] Not Connected:localhost:9002
[WARNING | 2018-01-05 14:57:29,676] Not Connected:localhost:9002
