[WARNING | 2017-12-30 18:29:26,039] Not Connected:localhost:9001
[WARNING | 2017-12-30 18:29:26,040] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:29:29,146] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:29:46,497] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:31:28,787] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:31:29,976] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:31:29,977] all server dont alive
[WARNING | 2017-12-30 18:34:11,537] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:34:12,611] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:34:12,615] all server dont alive
[WARNING | 2017-12-30 18:34:14,909] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:34:15,992] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:34:15,995] all server dont alive
[WARNING | 2017-12-30 18:36:36,860] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:36:37,932] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:36:37,934] all server dont alive
[WARNING | 2017-12-30 18:36:40,439] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:36:41,518] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:36:41,528] all server dont alive
[WARNING | 2017-12-30 18:52:48,806] Not Connected:localhost:9000
[WARNING | 2017-12-30 18:52:48,809] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:52:51,966] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:53:05,913] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:53:42,468] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:53:43,545] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:53:43,550] all server dont alive
[WARNING | 2017-12-30 18:53:45,974] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:53:47,051] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:53:47,061] all server dont alive
[WARNING | 2017-12-30 18:57:15,691] Not Connected:localhost:9002
[WARNING | 2017-12-30 18:57:22,724] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:57:23,800] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:57:23,802] all server dont alive
[WARNING | 2017-12-30 18:57:25,907] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 18:57:26,985] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 18:57:26,988] all server dont alive
[WARNING | 2017-12-30 19:07:28,724] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:13:00,376] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:21:21,416] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:28:35,184] 发生节点迁移：192.168.56.1 51976->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-30 19:28:36,222] WriteHttpResponse open html/favicon.ico error
[WARNING | 2017-12-30 19:29:21,994] 发生节点迁移：192.168.56.1 51985->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-30 19:31:29,649] Not Connected:localhost:9001
[WARNING | 2017-12-30 19:31:29,650] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:31:31,692] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:31:45,217] Not Connected:139.199.26.222:11001
[WARNING | 2017-12-30 19:31:46,370] Not Connected:139.199.26.222:11002
[WARNING | 2017-12-30 19:31:46,471] all server dont alive
[WARNING | 2017-12-30 19:32:38,490] 发生节点迁移：192.168.56.1 52047->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-30 19:32:58,009] 发生节点迁移：192.168.56.1 52053->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-30 19:40:20,429] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:40:38,471] 发生节点迁移：192.168.56.1 52200->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-30 19:40:45,937] 发生节点迁移：192.168.56.1 52202->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-30 19:40:46,030] 发生节点迁移：192.168.56.1 52203->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-30 19:44:29,266] Not Connected:localhost:9002
[WARNING | 2017-12-30 19:53:45,834] Not Connected:localhost:9002
[WARNING | 2017-12-30 20:03:40,453] Not Connected:localhost:9002
[WARNING | 2017-12-30 20:03:44,724] 发生节点迁移：192.168.56.1 54537->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-30 20:14:51,424] Not Connected:localhost:9002
[WARNING | 2017-12-30 20:15:20,887] 发生节点迁移：192.168.56.1 54731->139.199.26.222 11002 change to ->139.199.26.222 11001
[WARNING | 2017-12-30 20:16:28,891] 发生节点迁移：192.168.56.1 54753->139.199.26.222 11001 change to ->139.199.26.222 11002
[WARNING | 2017-12-30 20:20:16,748] Not Connected:localhost:9001
[WARNING | 2017-12-30 20:20:16,750] Not Connected:localhost:9002
[WARNING | 2017-12-30 20:20:18,226] Not Connected:localhost:9002
