[DEBUG | 2017-12-23 12:13:19,381] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-23 12:13:19,381] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-23 12:13:19,383] DtbtNginx = localhost 9000
[DEBUG | 2017-12-23 12:13:19,384] DtbtNginx = localhost 9001
[DEBUG | 2017-12-23 12:13:19,385] DtbtNginx = localhost 9002
[DEBUG | 2017-12-23 12:13:19,671] vote for self 
[DEBUG | 2017-12-23 12:14:07,446] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-23 12:14:07,447] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-23 12:14:07,448] selfNginxName = localhost 9000
[DEBUG | 2017-12-23 12:14:07,449] DtbtNginx = localhost 9001
[DEBUG | 2017-12-23 12:14:07,450] DtbtNginx = localhost 9002
[DEBUG | 2017-12-23 12:14:07,451] lisCliName = localhost 11001
[DEBUG | 2017-12-23 12:14:07,892] vote for self 
[DEBUG | 2017-12-23 12:14:08,286] vote for self 
[DEBUG | 2017-12-23 12:14:08,732] vote for self 
[DEBUG | 2017-12-23 12:14:09,248] vote for self 
[DEBUG | 2017-12-23 12:14:09,742] vote for self 
[DEBUG | 2017-12-23 12:14:10,216] vote for self 
[DEBUG | 2017-12-23 12:14:10,636] vote for self 
[DEBUG | 2017-12-23 12:14:10,649] BackServer = 139.199.26.222 11001
[DEBUG | 2017-12-23 12:14:10,650] BackServer = 139.199.26.222 11002
[DEBUG | 2017-12-23 12:14:10,651] DtbtNginx = localhost 9000
[DEBUG | 2017-12-23 12:14:10,653] selfNginxName = localhost 9001
[DEBUG | 2017-12-23 12:14:10,654] DtbtNginx = localhost 9002
[DEBUG | 2017-12-23 12:14:10,656] lisCliName = localhost 11002
[DEBUG | 2017-12-23 12:14:10,661] AcceptNginx:19
[DEBUG | 2017-12-23 12:14:10,662] connect -> localhost 9000
[DEBUG | 2017-12-23 12:14:11,014] vote for localhost 9001
[DEBUG | 2017-12-23 12:14:11,014] vote for self 
[DEBUG | 2017-12-23 12:14:11,020] recv a vote for me
