[ERROR | 2018-01-05 13:17:38,847] Read sockfd had close fd=19
[ERROR | 2018-01-05 13:17:58,791] Read sockfd had close fd=12
[ERROR | 2018-01-05 13:17:59,211] Read sockfd had close fd=17
[ERROR | 2018-01-05 13:29:42,299] Read sockfd had close fd=12
[ERROR | 2018-01-05 13:29:42,409] Read sockfd had close fd=17
[ERROR | 2018-01-05 14:23:37,198] Read sockfd had close fd=19
[ERROR | 2018-01-05 14:23:41,660] Read sockfd had close fd=12
[ERROR | 2018-01-05 14:54:59,124] Read sockfd had close fd=12
[ERROR | 2018-01-05 14:54:59,585] Read sockfd had close fd=19
[ERROR | 2018-01-05 15:01:41,058] Read sockfd had close fd=19
[ERROR | 2018-01-05 15:01:43,794] Read sockfd had close fd=12
[ERROR | 2018-01-05 15:09:03,014] Read sockfd had close fd=19
[ERROR | 2018-01-05 15:09:05,567] Read sockfd had close fd=12
[ERROR | 2018-01-05 15:18:00,008] Read sockfd had close fd=19
[ERROR | 2018-01-05 15:18:04,017] Read sockfd had close fd=12
[ERROR | 2018-01-05 18:15:54,241] Read sockfd had close fd=19
[ERROR | 2018-01-05 18:16:05,273] Read sockfd had close fd=12
[ERROR | 2018-01-05 18:37:29,846] Read sockfd had close fd=12
[ERROR | 2018-01-05 18:37:30,339] Read sockfd had close fd=19
[ERROR | 2018-01-05 19:16:30,270] Read sockfd had close fd=12
[ERROR | 2018-01-05 19:16:31,945] Read sockfd had close fd=19
[ERROR | 2018-01-05 19:28:11,191] Read sockfd had close fd=12
[ERROR | 2018-01-05 19:28:11,222] Read sockfd had close fd=19
