[DEBUG | 2017-12-08 00:06:26,752] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-08 00:06:26,753] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-08 00:06:26,755] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-08 00:06:26,756] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-08 00:06:28,765] vote for self 
[DEBUG | 2017-12-08 00:06:30,791] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-08 00:06:30,792] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-08 00:06:30,793] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-08 00:06:30,794] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-08 00:06:30,797] accept :127.0.0.1 48470
[DEBUG | 2017-12-08 00:06:30,797] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-08 00:06:30,994] vote for self 
[DEBUG | 2017-12-08 00:06:30,995] vote for 127.0.0.1 9000
[DEBUG | 2017-12-08 00:06:30,995] recv a vote for me
[DEBUG | 2017-12-08 00:06:30,996] ACK to Follower
[DEBUG | 2017-12-08 00:06:31,005] recv a vote for me
[DEBUG | 2017-12-08 00:09:10,474] selfNginxName = 127.0.0.1 9000
[DEBUG | 2017-12-08 00:09:10,475] DtbtNginx = 127.0.0.1 9001
[DEBUG | 2017-12-08 00:09:10,476] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-08 00:09:10,476] listenName = 127.0.0.1 11111
[DEBUG | 2017-12-08 00:09:12,484] vote for self 
[DEBUG | 2017-12-08 00:09:14,778] vote for self 
[DEBUG | 2017-12-08 00:09:15,322] vote for self 
[DEBUG | 2017-12-08 00:09:15,782] vote for self 
[DEBUG | 2017-12-08 00:09:16,285] vote for self 
[DEBUG | 2017-12-08 00:09:16,803] vote for self 
[DEBUG | 2017-12-08 00:09:17,207] vote for self 
[DEBUG | 2017-12-08 00:09:17,666] vote for self 
[DEBUG | 2017-12-08 00:09:18,236] vote for self 
[DEBUG | 2017-12-08 00:09:18,380] DtbtNginx = 127.0.0.1 9000
[DEBUG | 2017-12-08 00:09:18,380] selfNginxName = 127.0.0.1 9001
[DEBUG | 2017-12-08 00:09:18,381] DtbtNginx = 127.0.0.1 9002
[DEBUG | 2017-12-08 00:09:18,382] listenName = 127.0.0.1 11112
[DEBUG | 2017-12-08 00:09:18,387] connect -> 127.0.0.1 9000
[DEBUG | 2017-12-08 00:09:18,387] accept :127.0.0.1 48478
[DEBUG | 2017-12-08 00:09:18,974] vote for self 
