[INFO | 2017-12-08 20:03:47,947] 127.0.0.1 9000 is survived
[INFO | 2017-12-08 20:03:47,952] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:04:09,128] kill all the clild now
[INFO | 2017-12-08 20:04:09,259] child close 0
[INFO | 2017-12-08 20:04:13,617] become a Leader
[INFO | 2017-12-08 20:04:13,622] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:04:22,990] 127.0.0.1 9002not vote for 127.0.0.1 9002
[INFO | 2017-12-08 20:04:23,003] 127.0.0.1 9002 is survived
[INFO | 2017-12-08 20:04:23,007] 127.0.0.1 9001 become a Leader, I am a follower
[INFO | 2017-12-08 20:04:27,273] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:27,727] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:28,185] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:28,651] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:29,099] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:29,553] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:30,007] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:30,464] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:30,917] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:31,371] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:31,831] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:32,281] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:32,746] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:33,194] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:33,650] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:34,119] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:34,587] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:35,041] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:35,496] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:35,958] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:36,410] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:36,867] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:37,321] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:37,778] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:38,231] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:38,687] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:39,146] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:39,611] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:40,084] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:40,524] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:40,984] 127.0.0.1 9000not vote for 127.0.0.1 9000
[INFO | 2017-12-08 20:04:41,435] 127.0.0.1 9000not vote for 127.0.0.1 9000
